Excelsior Peak via Damfino Lakes Trail,North Cascades > Mount Baker Area,https://www.wta.org/site_images/hikes/dsc_8031-fall-colors-at-excelsior-pass-25.jpg/@@images/765c689a-83fc-47b5-83ef-4b9719a414cc.jpeg,48.9593,-121.8070,https://www.wta.org/go-hiking/hikes/excelsior-peak-via-damfino-lakes-trail
Chain Lakes Loop,North Cascades > Mount Baker Area,https://www.wta.org/site_images/hikes/cl9-iceberg-baker-mb.jpg-1/@@images/8e84aca8-35ca-4989-bc90-be6d6e5dfabe.jpeg,48.8469,-121.6925,https://www.wta.org/go-hiking/hikes/chain-lakes-3
Beckler Peak,Central Cascades > Stevens Pass - West,https://www.wta.org/site_images/hikes/p1030839.jpg/@@images/0ecbbbea-532f-4e61-ba78-33bfcb07f79a.jpeg,47.7243,-121.2667,https://www.wta.org/go-hiking/hikes/beckler-peak
Crystal Lake,North Cascades > Mountain Loop Highway,https://www.wta.org/site_images/hikes/img_0595.jpg/@@images/1aba33d1-a1ac-4828-9acb-dbef785b4fd5.jpeg,48.2195,-121.3478,https://www.wta.org/go-hiking/hikes/crystal-lake-1
Monogram Lake,North Cascades > North Cascades Highway - Hwy 20,https://www.wta.org/site_images/hikes/monogram-lake-hiker-jim.jpg/@@images/1339c7a2-feb6-47ce-8d6e-e795241feea8.jpeg,48.5370,-121.2940,https://www.wta.org/go-hiking/hikes/monogram-lake
Buckhorn Mountain,Olympic Peninsula > Hood Canal,https://www.wta.org/site_images/hikes/img_5598.png/@@images/319b42af-583c-4f2f-b29e-9c7a1f36411f.png,47.8268,-123.1166,https://www.wta.org/go-hiking/hikes/buckhorn-mountain
Thornton Lakes and Trappers Peak,North Cascades > North Cascades Highway - Hwy 20,https://www.wta.org/site_images/hikes/thorton-lake-and-trappers-peak-by-day-hike.jpg/@@images/53bc4eca-a5e7-4048-87b8-7d5469a62fea.jpeg,48.6537,-121.3242,https://www.wta.org/go-hiking/hikes/thornton-lakes-and-trappers-peak
Wagon Road Trail,Snoqualmie Region > Snoqualmie Pass,https://www.wta.org/site_images/hikes/wagon-road_steve-payne.jpeg/@@images/5d16f09b-df4a-4cae-ad8d-0bf230aaaf93.jpeg,47.4130,-121.4417,https://www.wta.org/go-hiking/hikes/wagon-road-1
Margaret's Way and Debbie's View,Issaquah Alps > Squak Mountain,https://www.wta.org/site_images/hikes/hike-image-2020-03-23-5249324029/@@images/ebaefcf7-13dd-4641-be8a-47d58c217bd9.jpeg,47.5066,-122.0867,https://www.wta.org/go-hiking/hikes/margarets-way
Heather - Maple Pass Loop,North Cascades > North Cascades Highway - Hwy 20,https://www.wta.org/site_images/hikes/maple-pass.jpg-2/@@images/3e3424ad-ad72-4292-b95e-1487dd274782.jpeg,48.5162,-120.7354,https://www.wta.org/go-hiking/hikes/maple-pass
Colquhoun Peak,Mount Rainier Area > Chinook Pass - Hwy 410,https://www.wta.org/site_images/hikes/view-from-lookout-site.jpg/@@images/1165afae-4ce2-4475-85c9-3eb90de79c0a.jpeg,47.1322,-121.4598,https://www.wta.org/go-hiking/hikes/colquhon-peak
Mount Angeles,Olympic Peninsula > Northern Coast,https://www.wta.org/site_images/hikes/mount-angeles.jpg/@@images/a1362d6b-cc86-4b21-bdd9-9408bbff9c23.jpeg,47.9838,-123.4525,https://www.wta.org/go-hiking/hikes/mount-angeles
Wolf Creek,Olympic Peninsula > Northern Coast,https://www.wta.org/site_images/hikes/wolf-creek_smallfeet.jpeg/@@images/81f46b2c-e4dc-4359-93cd-0502536179a2.jpeg,47.9704,-123.5036,https://www.wta.org/go-hiking/hikes/wolf-creek-1
Klahhane Ridge,Olympic Peninsula > Northern Coast,https://www.wta.org/site_images/hikes/trail-2.jpg/@@images/c90960fe-fe43-4c8d-8425-a6903a76a53e.jpeg,47.9871,-123.4609,https://www.wta.org/go-hiking/hikes/klahhane-ridge
Hurricane Hill,Olympic Peninsula > Northern Coast,https://www.wta.org/site_images/hikes/20150906_164408.jpg/@@images/aacc54c9-907d-46b2-8a7b-d8f79b17d901.jpeg,47.9766,-123.5178,https://www.wta.org/go-hiking/hikes/hurricane-hill
Switchback,Olympic Peninsula > Northern Coast,https://www.wta.org/site_images/hikes/switchback-trail_nwroth.jpeg/@@images/30dfb758-41dd-4ff2-a6ed-99035f9c55e0.jpeg,47.9866,-123.4609,https://www.wta.org/go-hiking/hikes/switchback
Beacon Rock State Park - Hadley Trail,Southwest Washington > Columbia River Gorge - WA,https://www.wta.org/site_images/hikes/hike-image-2021-06-15-7684633301/@@images/debffb4a-502d-4a47-b6a6-3435e3bfcbad.jpeg,45.6277,-122.0235,https://www.wta.org/go-hiking/hikes/hadley-trail
